chord_group,name,pronounce_name,conventional_chord_structure,st_structure
Interval,m2,Minor Second,,0-1
Interval,M2,Major Second,,0-2
Interval,m3,Minor Third,,0-3
Interval,M3,Major Third,,0-4
Interval,P4,Perfect Fourth,,0-5
Interval,tri,Tritone,,0-6
Interval,P5,Perfect Fifth,,0-7
Interval,m6,Minor Sixth,,0-8
Interval,M6,Major Sixth,,0-9
Interval,m7,Minor Seventh,,0-10
Interval,M7,Major Seventh,,0-11
Interval,oct,Octave,,0-12
Power,Power Chord,Power Chord,.1-5-1,0-7-12
Triad,Major,Major,.1-3-5,0-4-7
Triad,Minor,Minor,.1-b3-5,0-3-7
Triad,Augmented,Augmented,.1-3-#5,0-4-8
Triad,Diminished,Diminished,.1-b3-b5,0-3-6
Triad,Sus2,Suss 2,.1-2-5,0-2-7
Triad,Sus4,Suss 4,.1-4-5,0-5-7
Seventh,Major 7,Major 7,.1-3-5-7,0-4-7-11
Seventh,Minor 7,Minor 7,.1-b3-5-b7,0-3-7-10
Seventh,Minor-Major 7,Minor Major 7,.1-b3-5-7,0-3-7-11
Seventh,Dominant 7,Dominant 7,.1-3-5-b7,0-4-7-10
Seventh,Minor 7 b5,Minor 7 flat 5,.1-b3-b5-b7,0-3-6-10
Seventh,Diminished 7,Diminished 7,.1-b3-b5-bb7,0-3-6-9
Extended,Major 9,Major 9,.1-3-5-7-9,0-4-7-11-14
Extended,Minor 9,Minor 9,.1-b3-5-b7-9,0-3-7-10-14
Extended,Dominant 9,Dominant 9,.1-3-5-b7-9,0-4-7-10-14
