note,frequency,st_from_e2
E2,82.41,0
F2,87.31,1
Gb2,92.5,2
G2,98,3
Ab2,103.83,4
A2,110,5
Bb2,116.54,6
B2,123.47,7
C3,130.81,8
Db3,138.59,9
D3,146.83,10
Eb3,155.56,11
E3,164.81,12
F3,174.61,13
Gb3,185,14
G3,196,15
Ab3,207.65,16
A3,220,17
Bb3,233.08,18
B3,246.94,19
C4,261.63,20
Db4,277.18,21
D4,293.66,22
Eb4,311.13,23
E4,329.63,24
F4,349.23,25
Gb4,369.99,26
G4,392,27
Ab4,415.3,28
A4,440,29
Bb4,466.16,30
B4,493.88,31
C5,523.25,32
Db5,554.37,33
D5,587.33,34
Eb5,622.25,35
E5,659.25,36
F5,698.46,37
Gb5,739.99,38
G5,783.99,39
Ab5,830.61,40
A5,880,41
Bb5,932.33,42
B5,987.77,43
C6,1046.5,44
Db6,1108.73,45
D6,1174.66,46
Eb6,1244.51,47
E6,1318.51,48
