name,pronounce_name,major_structure,st_structure
Major,Major,1-2-3-4-5-6-7-8,0-2-4-5-7-9-11-12
Dorian,Dorian,1-2-b3-4-5-6-b7-8,0-2-3-5-7-9-10-12
Phrygian,Phrygian,1-b2-b3-4-5-b6-b7-8,0-1-3-5-7-8-10-12
Lydian,Lidian,1-2-3-#4-5-6-7-8,0-2-4-6-7-9-11-12
Mixolydian,Mixolydian,1-2-3-4-5-6-b7-8,0-2-4-5-7-9-10-12
Minor,Minor,1-2-b3-4-5-b6-b7-8,0-2-3-5-7-8-10-12
Locrian,Locrian,1-b2-b3-4-b5-b6-b7-8,0-1-3-5-6-8-10-12
Harmonic Minor,Harmonic Minor,1-2-b3-4-5-b6-7-8,0-2-3-5-7-8-11-12
Phrygian Dominant,Phrygian Dominant,1-b2-3-4-5-b6-b7-8,0-1-4-5-7-8-10-12
(Jazz) Melodic Minor,Melodic Minor,1-2-b3-4-5-6-7-8,0-2-3-5-7-9-11-12
Lydian Dominant,Lidian Dominant,1-2-3-#4-5-6-b7-8,0-2-4-6-7-9-10-12
Pentatonic Major,Pentatonic Major,1-2-3-5-6-8,0-2-4-7-9-12
Pentatonic Minor,Pentatonic Minor,1-b3-4-5-b7-8,0-3-5-7-10-12
